Experiment,Description,Features,Training Time (s),Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train Pearson,Test Pearson
top_k_100,Top 100 features by importance,100,0.8099896907806396,0.0025610029097949197,0.003266002465947341,0.0506063524648331,0.057148949823661165,0.01798588288400986,0.020033711350985545,0.780517216532095,0.6738501819197931
importance_threshold_0.001,Features with importance > 0.001,123,0.9731490612030029,0.002593771889671347,0.0032672880645938994,0.050929086872546096,0.05716019650590697,0.018179870811742497,0.02006071741571861,0.7776192262663472,0.674342400765857
top_k_356,Top 356 features by importance,356,2.184586524963379,0.0025234133578424,0.00326871469735013,0.05023358794514284,0.05717267439389319,0.017931084494518624,0.020060295980043368,0.7859958311710631,0.6737067570180062
baseline,All features,356,2.121842622756958,0.0025234133578424,0.003271130799042922,0.05023358794514284,0.05719380035495912,0.017931084494518624,0.02006254505575404,0.7859958311710631,0.6734959152630966
correlation_top_356,Top 356 features by correlation,356,1.994591474533081,0.0025234133578424,0.0032719640897579086,0.05023358794514284,0.05720108469039646,0.017931084494518624,0.020061136584540763,0.7859958311710631,0.6733808731992303
importance_threshold_0.002,Features with importance > 0.002,111,0.9021766185760498,0.002555520975234038,0.003279528299402066,0.050552160935355056,0.05726716598018507,0.018097978042768033,0.020160382094596148,0.7818052095795136,0.6730890769669206
importance_threshold_0.005,Features with importance > 0.005,65,0.4983818531036377,0.002638582827991534,0.0033627240569887905,0.051367137627003644,0.05798899944807455,0.018268915531538494,0.02030879546687871,0.769771063451399,0.6596845871799415
correlation_top_100,Top 100 features by correlation,100,0.5420949459075928,0.0027746864433216066,0.003472631909375945,0.05267529253190348,0.05892904130711737,0.01871510235062238,0.02071045050978702,0.7548684881358689,0.6455064708438734
correlation_top_50,Top 50 features by correlation,50,0.35259461402893066,0.003122932193873194,0.0036631517486214737,0.05588320135669747,0.0605239766424966,0.019779762218217662,0.02135596719087451,0.7165508128648647,0.6220533592872638
top_k_50,Top 50 features by importance,50,0.2728116512298584,0.004017203210908117,0.0046883758212640314,0.06338141060995817,0.06847171548357783,0.021999899346270994,0.0236848726035191,0.5979629378693831,0.4554503816905434
top_k_20,Top 20 features by importance,20,0.14962434768676758,0.004212201666738133,0.004753489153348591,0.06490147661446644,0.06894555209256498,0.022636453946062788,0.02410342345509942,0.5702579874358431,0.4429654147576412
importance_threshold_0.01,Features with importance > 0.01,28,0.19550728797912598,0.004182901158386006,0.004767160624759112,0.06467535201594195,0.06904462777623696,0.022515942742517257,0.024038760928690162,0.5738796664825301,0.44058091221453605
top_k_10,Top 10 features by importance,10,0.10922074317932129,0.004482277889393511,0.004915501459623014,0.06694981620134226,0.07011063727868272,0.023511027290432664,0.024759173654961063,0.5292653161103749,0.41090394303673505
correlation_top_20,Top 20 features by correlation,20,0.17055940628051758,0.004558910201259834,0.004950139353391302,0.06751970231909968,0.07035722673180987,0.023801475088521498,0.02496347480180991,0.518413490691447,0.4030496280848985
correlation_top_10,Top 10 features by correlation,10,0.0942537784576416,0.005384007789680917,0.005481357227047652,0.07337579839211916,0.07403618863128796,0.02645791010092212,0.026929875805482034,0.3527135707117933,0.27462790971204404
